Date,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
2018-08-22,,17730.0,17680.0,0.0,0.0,16260.0,,19610.0,21170.0,21370.0
2018-09-06,,18110.0,18060.0,0.0,0.0,16550.0,,19910.0,21470.0,21670.0
2018-09-21,,18170.0,18120.0,0.0,0.0,16680.0,,20230.0,21770.0,21970.0
2018-10-06,,18660.0,18610.0,0.0,0.0,17080.0,,20900.0,22340.0,22540.0
2018-10-22,,18660.0,18610.0,0.0,0.0,17080.0,,20680.0,22200.0,22400.0
2018-11-06,,18590.0,18540.0,0.0,0.0,17080.0,,19600.0,21060.0,21260.0
2018-11-21,,17680.0,17630.0,0.0,0.0,16240.0,,18620.0,19970.0,20170.0
2018-12-06,,16300.0,16250.0,0.0,0.0,15250.0,,17180.0,18450.0,18650.0
2018-12-21,,16050.0,16000.0,0.0,0.0,15000.0,,16780.0,18140.0,18340.0
2019-01-01,,14950.0,14900.0,0.0,0.0,14180.0,,16270.0,17600.0,17800.0
2019-01-16,,,14900.0,0.0,0.0,14180.0,,16270.0,17600.0,
2019-01-31,,,14900.0,0.0,0.0,14180.0,,16270.0,17600.0,
2019-02-15,,,14900.0,0.0,0.0,14180.0,,16270.0,17600.0,
2019-03-02,,,15860.0,0.0,0.0,14880.0,,17210.0,18540.0,
2019-03-18,,,15860.0,0.0,0.0,14880.0,,17210.0,18540.0,
2019-04-02,,,17080.0,0.0,0.0,15970.0,,18580.0,20030.0,
2019-04-17,,,17380.0,0.0,0.0,16260.0,,19700.0,21230.0,
2019-05-02,,,17690.0,0.0,0.0,16620.0,,20680.0,22190.0,
2019-05-17,,,17610.0,0.0,0.0,16420.0,,20480.0,21590.0,
2019-06-01,,,17390.0,0.0,0.0,16220.0,,20210.0,21210.0,
2019-06-17,,,16650.0,0.0,0.0,15610.0,,19230.0,20130.0,
2019-07-02,,,16940.0,0.0,0.0,15930.0,,19650.0,20510.0,
2019-07-17,,,16990.0,0.0,0.0,15950.0,,20270.0,21230.0,
2019-08-01,,,17020.0,0.0,0.0,15960.0,,19900.0,20910.0,
2019-08-16,,,16500.0,0.0,0.0,15390.0,,19350.0,20400.0,
2019-08-31,,,16330.0,0.0,0.0,15320.0,,19220.0,20230.0,
2019-09-16,,,16200.0,0.0,0.0,15360.0,,19110.0,20140.0,
2019-10-01,,,16630.0,0.0,0.0,15780.0,,19780.0,21060.0,
2019-10-16,,,16220.0,0.0,0.0,15250.0,,19470.0,20790.0,
2019-10-31,,,16050.0,0.0,0.0,15130.0,,19250.0,20440.0,
2019-11-15,,,15960.0,0.0,0.0,14960.0,,19500.0,20790.0,
2019-11-30,,,15980.0,0.0,0.0,14960.0,,19810.0,21070.0,
2019-12-16,,,16060.0,,,15010.0,,19720.0,20880.0,
2019-12-31,,,16590.0,,,15580.0,,19880.0,20990.0,
2020-01-15,,,16540.0,,,15530.0,,19840.0,20910.0,
2020-01-30,,,16130.0,,,15060.0,,19260.0,20120.0,
2020-02-14,,,15170.0,,,13950.0,,18500.0,19380.0,
2020-02-29,,,14780.0,,,13670.0,,18340.0,19120.0,
2020-03-15,,,13030.0,,,11840.0,,16050.0,16810.0,
2020-03-29,,,11250.0,,,9140.0,,11950.0,12560.0,
2020-04-13,,,10820.0,,,8630.0,,11340.0,11930.0,
2020-04-28,,,9940.0,,,7960.0,,10940.0,11630.0,
2020-05-13,,,9850.0,,,7880.0,,11520.0,12230.0,
2020-05-28,,,10740.0,,,8750.0,,12400.0,13120.0,
2020-06-12,,,11510.0,,,9610.0,,13390.0,14080.0,
2020-06-27,,,12110.0,,,10030.0,,14250.0,14970.0,
2020-07-13,,,12110.0,,,10030.0,,14250.0,14970.0,
2020-07-28,,,12390.0,,,10270.0,,14400.0,14970.0,
2020-08-12,,,12200.0,,,10200.0,,14400.0,14920.0,
2020-08-27,,,11960.0,,,10120.0,,14400.0,15110.0,
2020-09-11,,,11510.0,,,9590.0,,14260.0,14980.0,
2020-09-26,,,11120.0,,,9440.0,,14210.0,14980.0,
2020-10-12,,,11120.0,,,9590.0,,14260.0,15120.0,
2020-10-27,,,11210.0,,,9710.0,,14100.0,14940.0,
2020-11-11,,,10830.0,,,9560.0,,13880.0,14700.0,
2020-11-26,,,11430.0,,,10130.0,,14490.0,15350.0,
2020-12-11,,,11890.0,,,10770.0,,15120.0,16000.0,
2020-12-26,,,12370.0,,,11180.0,,15510.0,16470.0,
2021-01-11,,,12640.0,,,11550.0,,15940.0,16930.0,
2021-01-26,,,13040.0,,,11900.0,,16300.0,17270.0,
